City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Rikitea,-23.12,-134.97,77.13,73.98,77,1018,18.57,54
Vangaindrano,-23.35,47.6,74.14,78.49,86,1013,5.53,57
Hobart,-42.88,147.33,58.51,55.56,82,1016,6.93,20
Redlands,34.06,-117.18,63.86,57.85,31,1020,4.5,5
Port Alfred,-33.59,26.89,73.0,79.18,93,1007,3.36,100
Jamestown,42.1,-79.24,33.73,27.99,86,1014,3.36,90
Port Elizabeth,-33.92,25.57,73.4,77.94,94,1009,6.93,100
Hilo,19.73,-155.09,71.67,72.81,78,1022,6.93,90
St. Pete Beach,27.73,-82.74,61.93,52.27,42,1017,12.75,1
Arraial do Cabo,-22.97,-42.03,79.57,83.52,83,1011,10.29,0
East London,-33.02,27.91,76.89,78.85,68,1010,6.31,100
Ninghai,29.29,121.42,49.57,47.37,99,994,3.71,100
Klaksvík,62.23,-6.59,41.0,33.31,100,1031,10.07,81
Tura,25.52,90.22,62.1,61.14,66,1013,2.13,66
Havøysund,71.0,24.66,39.2,25.52,80,1024,18.34,75
Buin,-33.73,-70.75,88.0,84.11,27,1012,6.93,20
Ushuaia,-54.8,-68.3,53.6,36.95,50,1008,24.16,40
Codrington,-38.27,141.97,57.49,49.71,83,1016,15.12,100
Turbat,26.0,63.04,52.75,41.97,29,1019,10.51,0
Kaitangata,-46.28,169.85,57.99,56.14,78,1017,4.0,100
Port Hedland,-20.32,118.57,80.6,73.83,54,1006,19.46,40
Tasiilaq,65.61,-37.64,19.4,5.61,57,1015,13.87,100
Bedi,22.5,70.05,65.57,57.69,46,1013,11.61,0
Busselton,-33.65,115.33,58.28,55.22,82,1021,7.0,0
Faanui,-16.48,-151.75,80.73,79.59,78,1014,18.59,100
Paralímni,35.04,33.98,58.96,57.88,93,1019,5.82,0
Ballarat,-37.57,143.85,57.69,57.02,97,1012,5.01,100
Pandan,14.05,124.17,79.03,80.42,82,1011,13.96,29
Porto-Novo,6.5,2.6,84.2,89.51,83,1009,12.75,40
Mongu,-15.25,23.13,69.24,72.63,86,1010,3.29,50
Saint Anthony,45.02,-93.22,36.79,28.92,74,1010,6.93,20
Khatanga,71.97,102.5,-8.93,-22.25,87,1031,11.77,61
Lázaro Cárdenas,17.96,-102.2,83.19,83.62,60,1012,10.92,0
Christchurch,-43.53,172.63,64.06,61.02,72,1019,8.05,100
Upernavik,72.79,-56.15,14.43,0.64,82,1004,14.2,100
Kaeo,-35.1,173.78,73.0,76.6,76,1021,3.0,0
Saint Paul Harbor,57.79,-152.41,28.4,22.44,100,979,3.36,75
Cam Ranh,11.92,109.16,77.0,79.12,88,1012,12.75,40
Manaure,11.78,-72.44,84.43,77.11,40,1009,17.18,0
Puerto Ayora,-0.74,-90.35,78.35,79.36,65,1010,8.05,20
Sambava,-14.27,50.17,74.97,79.09,83,1011,5.75,3
Dingle,11.0,122.67,74.66,79.66,93,1009,6.98,49
Butaritari,3.07,172.79,81.25,80.62,80,1010,18.95,41
Mataura,-46.19,168.86,55.0,55.29,92,1020,1.01,100
Hithadhoo,-0.6,73.08,82.67,86.16,74,1007,10.67,100
Iqaluit,63.75,-68.51,-18.4,-29.25,68,1017,6.93,20
Punta Arenas,-53.15,-70.92,53.6,39.92,54,1014,19.46,0
Bengkulu,-3.8,102.27,76.86,82.47,84,1007,5.1,89
Mehamn,71.04,27.85,39.2,26.15,80,1025,17.22,90
Thinadhoo,0.53,72.93,82.06,88.25,74,1007,5.3,100
Port Macquarie,-31.43,152.92,71.87,79.2,99,1006,1.99,24
Fortuna,40.6,-124.16,50.76,46.8,87,1013,5.82,75
Thompson,55.74,-97.86,3.2,-7.1,77,1006,6.93,90
San Matías,-16.37,-58.4,93.49,95.13,42,1004,7.99,61
Muyezerskiy,63.93,31.65,9.23,1.76,96,1034,2.82,87
Portland,45.52,-122.68,49.37,42.4,76,1006,9.17,75
Albany,42.6,-73.97,34.95,29.37,84,1012,3.22,94
Severo-Yeniseyskiy,60.37,93.04,-26.07,-34.94,82,1056,3.33,85
Tuktoyaktuk,69.45,-133.04,-22.0,-32.26,74,1006,5.82,75
Waterloo,43.47,-80.52,32.99,27.14,86,1014,3.36,90
Leningradskiy,69.38,178.42,-7.29,-18.62,86,1013,8.3,100
Bandrele,-12.91,45.19,80.6,84.7,78,1010,9.17,0
Muros,42.78,-9.06,34.41,25.75,96,1015,9.4,3
Kumbo,6.2,10.67,63.77,58.71,38,1010,4.27,1
Quatre Cocos,-20.21,57.76,77.0,80.83,83,1013,8.05,75
Qaanaaq,77.48,-69.36,-6.05,-14.84,80,1013,3.76,3
Aklavik,68.22,-135.01,-19.35,-28.95,75,1005,4.7,100
Bluff,-46.6,168.33,55.0,55.29,92,1020,1.01,100
La Romana,18.43,-68.97,80.6,80.69,65,1013,11.41,40
Wanaka,-44.7,169.15,57.0,55.83,76,1017,1.99,100
Samarai,-10.62,150.67,83.39,85.89,72,1008,12.33,98
Sioux Lookout,50.1,-91.92,33.8,24.55,80,1002,9.17,40
